customer_id,name,login_frequency,session_duration,feature_usage,support_tickets,subscription_age,plan_type,last_active_days,revenue,churn
CUST-1035,Wayne Enterprises #135,15,54,82,5,52,Pro,2,151.44,0
CUST-1036,Prestige Worldwide #136,4,8,16,2,30,Pro,27,197.09,1
CUST-1037,Massive Dynamic #137,15,56,60,3,20,Basic,11,40.06,1
CUST-1038,Globex #138,7,61,57,8,21,Basic,14,29.5,1
CUST-1039,Vandelay Industries #139,10,49,84,0,44,Pro,8,159.39,0
CUST-1040,Oscorp #140,1,56,60,5,32,Basic,30,31.91,1
CUST-1041,Soylent Corp #141,6,53,41,4,51,Basic,22,44.97,0
CUST-1042,Bluth Company #142,14,78,82,3,46,Basic,7,46.13,0
CUST-1043,Reynholm Industries #143,19,56,62,4,49,Pro,10,147.21,0
CUST-1044,Oscorp #144,8,34,48,4,56,Basic,15,44.66,0
CUST-1045,Initech #145,2,39,49,3,21,Enterprise,25,571.56,0
CUST-1046,Wayne Enterprises #146,14,34,46,7,35,Pro,26,148.21,0
CUST-1047,Dunder Mifflin #147,5,47,74,3,58,Pro,24,138.39,0
CUST-1048,Umbrella Corp #148,1,27,56,2,32,Enterprise,21,804.66,0
CUST-1049,Prestige Worldwide #149,14,77,75,2,30,Pro,3,103.45,0
CUST-1050,Reynholm Industries #150,5,50,48,3,55,Enterprise,27,875.06,1
CUST-1051,Umbrella Corp #151,26,98,86,2,39,Basic,0,30.58,0
CUST-1052,Globex #152,10,38,62,0,49,Pro,23,164.65,1
CUST-1053,Vehement Capital #153,12,69,78,0,12,Basic,6,29.37,0
CUST-1054,Cyberdyne Systems #154,10,71,77,2,41,Basic,1,45.64,0
CUST-1055,Umbrella Corp #155,9,47,49,5,47,Pro,23,116.47,1
CUST-1056,Prestige Worldwide #156,14,46,26,5,18,Pro,27,150.55,1
CUST-1057,Bluth Company #157,15,49,91,3,21,Basic,4,34.23,0
CUST-1058,Globex #158,8,64,52,4,13,Pro,6,171.26,1
CUST-1059,Cyberdyne Systems #159,16,102,61,2,21,Enterprise,3,659.68,0
CUST-1060,Umbrella Corp #160,13,41,62,1,8,Pro,4,171.46,0
CUST-1061,Wayne Enterprises #161,10,34,31,3,46,Pro,23,127.49,1
CUST-1062,Tyrell Corp #162,13,69,62,3,40,Pro,0,174.25,0
CUST-1063,Oscorp #163,13,44,70,2,46,Enterprise,0,514.3,0
CUST-1064,Reynholm Industries #164,8,61,97,5,7,Pro,14,127.33,1
CUST-1065,Wayne Enterprises #165,14,64,77,4,23,Pro,19,148.86,1
CUST-1066,Reynholm Industries #166,7,43,54,1,44,Enterprise,18,521.53,0
CUST-1067,Tyrell Corp #167,4,44,61,2,32,Enterprise,28,592.02,1
CUST-1068,Stark Industries #168,7,49,37,3,11,Basic,9,47.69,1
CUST-1069,Prestige Worldwide #169,9,45,55,0,22,Basic,27,48.54,0
CUST-1070,Oscorp #170,11,25,45,1,22,Basic,17,43.79,0
CUST-1071,Stark Industries #171,4,40,62,7,43,Basic,27,34.04,1
CUST-1072,Massive Dynamic #172,10,73,100,3,25,Pro,2,125.05,0
CUST-1073,Oscorp #173,21,47,34,2,22,Pro,10,163.58,0
CUST-1074,Stark Industries #174,1,17,42,8,28,Pro,14,110.76,1
CUST-1075,Acme Corp #175,8,52,38,1,29,Basic,30,47.97,0
CUST-1076,Soylent Corp #176,13,56,60,4,13,Enterprise,26,611.41,0
CUST-1077,Massive Dynamic #177,1,38,46,3,18,Pro,29,198.96,1
CUST-1078,Acme Corp #178,15,49,42,3,2,Pro,10,148.57,0
CUST-1079,Bluth Company #179,9,65,86,2,29,Enterprise,16,884.71,0
CUST-1080,Reynholm Industries #180,11,52,69,6,21,Pro,16,99.22,1
CUST-1081,Aperture Science #181,11,62,82,3,15,Basic,5,46.77,1
CUST-1082,Gekko & Co #182,19,72,68,2,52,Pro,4,126.0,0
CUST-1083,Dunder Mifflin #183,14,60,68,2,27,Basic,7,42.36,0
CUST-1084,Reynholm Industries #184,15,69,98,1,50,Basic,1,45.13,0
CUST-1085,Initech #185,6,44,61,3,31,Pro,15,115.41,1
CUST-1086,Initech #186,18,48,76,0,15,Basic,19,37.85,0
CUST-1087,Acme Corp #187,8,62,61,3,51,Pro,23,148.38,1
CUST-1088,Hooli #188,23,88,94,0,23,Basic,11,35.24,0
CUST-1089,Cyberdyne Systems #189,23,44,53,1,24,Enterprise,5,739.88,0
CUST-1090,Soylent Corp #190,6,32,27,1,44,Basic,0,35.35,0
CUST-1091,Massive Dynamic #191,2,49,64,5,13,Enterprise,30,679.37,1
CUST-1092,Soylent Corp #192,8,18,41,2,22,Pro,3,165.93,1
CUST-1093,Massive Dynamic #193,9,62,46,0,43,Basic,16,41.65,0
CUST-1094,Reynholm Industries #194,12,51,68,3,37,Pro,12,122.23,0
CUST-1095,Bluth Company #195,11,72,62,5,33,Enterprise,17,947.74,0
CUST-1096,Globex #196,19,67,100,2,56,Basic,4,46.26,0
CUST-1097,Acme Corp #197,13,45,40,5,3,Basic,29,39.18,1
CUST-1098,Tyrell Corp #198,12,58,50,4,54,Basic,23,37.67,0
CUST-1099,Hooli #199,5,39,72,5,19,Pro,23,136.69,1
CUST-1100,Initech #200,3,23,49,0,23,Pro,26,169.73,0
CUST-1101,Bluth Company #201,14,91,98,1,29,Pro,2,166.17,0
CUST-1102,Reynholm Industries #202,14,43,67,3,30,Basic,10,32.92,0
CUST-1103,Initech #203,10,16,39,3,39,Basic,12,42.43,0
CUST-1104,Acme Corp #204,7,67,52,0,44,Pro,3,124.24,0
CUST-1105,Initech #205,10,41,76,3,47,Basic,25,29.37,0
CUST-1106,Hooli #206,5,35,38,3,25,Basic,26,42.98,0
CUST-1107,Oscorp #207,8,40,68,2,37,Enterprise,13,821.4,0
CUST-1108,Wayne Enterprises #208,8,37,72,1,47,Pro,21,140.08,0
CUST-1109,Initech #209,10,38,57,3,8,Pro,10,151.57,0
CUST-1110,Acme Corp #210,5,25,47,4,42,Pro,26,193.72,1
CUST-1111,Hooli #211,5,40,45,2,58,Pro,9,158.52,0
CUST-1112,Wayne Enterprises #212,9,41,67,6,16,Pro,18,164.79,1
CUST-1113,Soylent Corp #213,13,66,27,5,8,Basic,17,30.28,1
CUST-1114,Massive Dynamic #214,14,65,83,1,1,Basic,5,32.32,0
CUST-1115,Oscorp #215,11,38,60,4,44,Basic,26,35.02,1
CUST-1116,Oscorp #216,2,35,54,0,5,Basic,28,39.79,1
CUST-1117,Cyberdyne Systems #217,4,31,59,3,3,Pro,14,176.66,0
CUST-1118,Stark Industries #218,7,29,33,3,1,Basic,20,35.42,1
CUST-1119,Gekko & Co #219,3,46,26,2,4,Basic,29,36.13,1
CUST-1120,Soylent Corp #220,9,46,70,5,40,Basic,9,34.12,0
CUST-1121,Dunder Mifflin #221,14,51,85,3,35,Basic,4,34.09,0
CUST-1122,Vandelay Industries #222,4,25,26,4,32,Pro,25,193.89,1
CUST-1123,Umbrella Corp #223,1,16,32,5,42,Basic,28,41.71,1
CUST-1124,Hooli #224,11,81,91,2,34,Pro,4,114.59,0
CUST-1125,Soylent Corp #225,14,63,76,3,43,Basic,9,43.44,0
CUST-1126,Stark Industries #226,10,33,100,3,25,Pro,27,171.2,0
CUST-1127,Oscorp #227,17,68,90,3,10,Pro,4,165.65,0
CUST-1128,Aperture Science #228,16,77,91,1,21,Basic,2,31.69,0
CUST-1129,Umbrella Corp #229,7,46,51,6,46,Pro,22,139.8,1
CUST-1130,Stark Industries #230,15,80,87,0,39,Basic,5,31.14,0
CUST-1131,Soylent Corp #231,13,32,78,3,27,Basic,3,45.33,0
CUST-1132,Gekko & Co #232,10,20,47,3,27,Enterprise,17,826.59,0
CUST-1133,Globex #233,2,37,56,4,2,Basic,27,39.14,1
CUST-1134,Cyberdyne Systems #234,12,58,71,2,41,Basic,8,35.86,0
CUST-1135,Stark Industries #235,12,5,32,5,48,Pro,16,117.42,1
CUST-1136,Vehement Capital #236,8,36,62,5,13,Basic,28,31.13,1
CUST-1137,Bluth Company #237,4,22,54,3,9,Pro,12,195.92,1
CUST-1138,Bluth Company #238,7,23,73,6,52,Basic,26,32.99,1
CUST-1139,Vandelay Industries #239,3,20,47,2,36,Enterprise,14,528.94,0
CUST-1140,Aperture Science #240,7,52,76,1,22,Pro,29,195.17,0
CUST-1141,Soylent Corp #241,5,24,49,5,42,Pro,19,153.9,0
CUST-1142,Acme Corp #242,18,51,75,5,26,Enterprise,16,897.33,0
CUST-1143,Acme Corp #243,11,27,49,4,58,Basic,12,29.88,0
CUST-1144,Vandelay Industries #244,14,77,87,5,54,Enterprise,15,782.47,0
CUST-1145,Stark Industries #245,19,74,87,3,12,Basic,21,36.96,0
CUST-1146,Massive Dynamic #246,10,12,30,2,17,Basic,3,44.44,0
CUST-1147,Initech #247,15,45,79,1,14,Basic,4,29.77,0
CUST-1148,Soylent Corp #248,7,51,63,4,14,Pro,4,139.17,0
CUST-1149,Vehement Capital #249,14,77,71,6,57,Basic,8,44.98,0
CUST-1150,Reynholm Industries #250,19,80,69,2,34,Pro,16,151.27,0
CUST-1151,Massive Dynamic #251,8,40,64,0,53,Pro,12,154.0,0
CUST-1152,Hooli #252,10,21,50,1,57,Enterprise,1,547.58,0
CUST-1153,Acme Corp #253,10,63,77,2,20,Basic,12,31.65,0
CUST-1154,Gekko & Co #254,18,61,76,1,11,Pro,21,166.7,1
CUST-1155,Cyberdyne Systems #255,12,55,76,2,16,Basic,20,42.5,0
CUST-1156,Bluth Company #256,2,31,97,4,51,Basic,26,48.58,0
CUST-1157,Oscorp #257,15,39,60,10,31,Basic,22,43.24,1
CUST-1158,Massive Dynamic #258,1,37,47,8,55,Basic,18,38.86,1
CUST-1159,Vandelay Industries #259,25,83,51,2,6,Pro,2,184.73,0
CUST-1160,Dunder Mifflin #260,16,55,49,2,56,Pro,9,109.45,0
CUST-1161,Dunder Mifflin #261,23,83,100,1,19,Basic,1,37.99,0
CUST-1162,Vandelay Industries #262,3,15,58,3,37,Basic,12,34.74,0
CUST-1163,Bluth Company #263,10,45,42,4,58,Basic,18,31.09,1
CUST-1164,Soylent Corp #264,6,42,97,4,4,Basic,25,44.27,1
CUST-1165,Globex #265,5,13,51,4,47,Enterprise,16,754.4,0
CUST-1166,Initech #266,2,33,63,3,4,Basic,20,40.14,1
CUST-1167,Dunder Mifflin #267,13,67,100,3,20,Basic,13,37.23,0
CUST-1168,Hooli #268,8,41,86,5,10,Basic,30,38.21,1
CUST-1169,Dunder Mifflin #269,18,65,84,1,24,Pro,11,110.6,0
CUST-1170,Dunder Mifflin #270,6,50,77,4,54,Enterprise,20,835.46,0
CUST-1171,Dunder Mifflin #271,10,44,75,1,35,Pro,11,142.24,0
CUST-1172,Globex #272,5,35,53,2,26,Pro,10,180.68,0
CUST-1173,Globex #273,20,52,70,1,37,Pro,6,118.63,0
CUST-1174,Hooli #274,14,57,77,2,38,Basic,3,33.1,0
CUST-1175,Acme Corp #275,13,50,63,3,21,Enterprise,18,821.88,0
CUST-1176,Acme Corp #276,18,73,62,1,54,Pro,0,183.6,0
CUST-1177,Gekko & Co #277,14,66,69,5,40,Pro,27,146.22,0
CUST-1178,Globex #278,1,43,46,3,39,Pro,30,171.7,1
CUST-1179,Bluth Company #279,11,44,62,4,21,Pro,23,198.93,1
CUST-1180,Vehement Capital #280,6,9,17,6,10,Pro,28,198.03,1
CUST-1181,Umbrella Corp #281,24,89,89,2,38,Enterprise,2,871.17,0
CUST-1182,Aperture Science #282,7,50,40,2,46,Enterprise,12,868.79,0
CUST-1183,Dunder Mifflin #283,16,52,59,3,4,Pro,14,123.76,1
CUST-1184,Vehement Capital #284,16,70,82,2,60,Pro,1,182.35,0
CUST-1185,Hooli #285,13,34,68,1,57,Basic,10,37.1,0
CUST-1186,Vandelay Industries #286,14,73,86,2,45,Pro,3,195.2,0
CUST-1187,Globex #287,16,56,72,2,20,Basic,18,30.63,1
CUST-1188,Vehement Capital #288,7,31,38,3,17,Pro,28,142.58,1
CUST-1189,Aperture Science #289,2,24,66,4,55,Enterprise,16,776.92,1
CUST-1190,Tyrell Corp #290,20,66,56,0,7,Pro,2,139.52,0
CUST-1191,Tyrell Corp #291,12,53,82,4,4,Basic,27,33.21,1
CUST-1192,Acme Corp #292,12,54,76,3,29,Basic,17,40.86,0
CUST-1193,Massive Dynamic #293,7,37,78,3,14,Basic,7,44.12,0
CUST-1194,Vehement Capital #294,3,39,59,5,3,Pro,21,163.48,0
CUST-1195,Tyrell Corp #295,1,32,43,3,24,Basic,24,33.69,1
CUST-1196,Initech #296,10,40,40,7,37,Basic,23,43.63,1
CUST-1197,Vandelay Industries #297,1,20,32,4,16,Basic,25,34.14,1
CUST-1198,Umbrella Corp #298,1,41,35,7,58,Pro,18,116.52,1
CUST-1199,Gekko & Co #299,20,77,92,6,55,Pro,4,168.07,0
CUST-1200,Initech #300,17,64,88,1,52,Basic,6,45.86,0
CUST-1201,Gekko & Co #301,7,57,76,0,4,Basic,20,38.63,0
CUST-1202,Vandelay Industries #302,12,24,51,3,56,Pro,7,152.14,0
CUST-1203,Soylent Corp #303,1,23,82,1,24,Pro,27,129.27,1
CUST-1204,Vandelay Industries #304,18,48,62,0,34,Pro,4,148.46,0
CUST-1205,Massive Dynamic #305,6,75,80,1,30,Basic,16,31.64,0
CUST-1206,Acme Corp #306,15,70,74,0,18,Pro,4,194.58,0
CUST-1207,Reynholm Industries #307,1,30,49,2,19,Basic,3,45.01,0
CUST-1208,Soylent Corp #308,13,67,82,7,31,Enterprise,21,832.99,0
CUST-1209,Prestige Worldwide #309,5,56,58,5,60,Pro,18,152.82,0
CUST-1210,Reynholm Industries #310,1,48,53,6,60,Basic,30,44.84,1
CUST-1211,Acme Corp #311,5,53,76,4,19,Basic,26,38.9,1
CUST-1212,Aperture Science #312,6,38,51,7,49,Pro,20,129.0,0
CUST-1213,Prestige Worldwide #313,20,62,73,6,46,Pro,1,115.04,0
CUST-1214,Cyberdyne Systems #314,9,33,51,3,19,Pro,10,163.76,0
CUST-1215,Initech #315,15,67,73,4,22,Pro,21,191.94,1
CUST-1216,Soylent Corp #316,13,53,56,3,24,Pro,12,114.36,1
CUST-1217,Tyrell Corp #317,15,53,56,6,45,Pro,14,117.0,0
CUST-1218,Tyrell Corp #318,11,44,49,2,12,Basic,11,37.67,0
CUST-1219,Vandelay Industries #319,15,81,93,5,30,Enterprise,21,902.45,0
CUST-1220,Dunder Mifflin #320,3,50,67,4,58,Basic,20,34.88,0
CUST-1221,Globex #321,9,75,91,3,38,Basic,21,34.08,0
CUST-1222,Acme Corp #322,10,57,83,2,53,Enterprise,10,808.98,0
CUST-1223,Tyrell Corp #323,20,70,68,1,31,Basic,6,39.71,0
CUST-1224,Bluth Company #324,14,57,81,5,36,Basic,27,30.2,1
CUST-1225,Hooli #325,13,40,59,4,19,Basic,4,30.63,0
CUST-1226,Hooli #326,3,17,46,5,48,Enterprise,16,820.51,1
CUST-1227,Massive Dynamic #327,10,57,87,4,45,Basic,23,38.3,0
CUST-1228,Massive Dynamic #328,1,17,56,7,36,Basic,19,48.42,1
CUST-1229,Initech #329,20,73,71,2,30,Basic,8,42.57,0
CUST-1230,Gekko & Co #330,8,62,78,8,55,Basic,13,29.2,1
CUST-1231,Tyrell Corp #331,7,34,38,2,49,Basic,25,38.62,1
CUST-1232,Tyrell Corp #332,8,76,81,1,55,Basic,11,37.29,0
CUST-1233,Initech #333,8,31,33,3,33,Pro,5,109.67,0
CUST-1234,Vandelay Industries #334,13,70,60,2,18,Basic,16,47.46,0
CUST-1235,Acme Corp #335,8,52,74,3,52,Basic,18,45.1,0
CUST-1236,Vandelay Industries #336,9,65,32,2,49,Basic,18,33.6,0
CUST-1237,Aperture Science #337,2,17,75,6,59,Basic,25,34.12,1
CUST-1238,Dunder Mifflin #338,14,92,98,3,28,Pro,15,102.2,0
CUST-1239,Reynholm Industries #339,16,59,41,2,59,Pro,11,128.67,0
CUST-1240,Umbrella Corp #340,10,60,100,2,47,Basic,11,40.69,0
CUST-1241,Vehement Capital #341,15,81,100,2,11,Basic,19,37.42,0
CUST-1242,Reynholm Industries #342,12,44,59,4,57,Basic,5,48.39,0
CUST-1243,Vandelay Industries #343,9,60,56,3,60,Enterprise,30,527.04,0
CUST-1244,Initech #344,1,20,75,5,54,Pro,22,158.14,1
CUST-1245,Tyrell Corp #345,9,68,68,5,45,Pro,25,184.83,0
CUST-1246,Initech #346,12,42,63,5,33,Basic,3,38.61,0
CUST-1247,Prestige Worldwide #347,14,58,87,2,17,Enterprise,5,500.48,0
CUST-1248,Wayne Enterprises #348,12,58,66,4,6,Basic,10,33.86,1
CUST-1249,Prestige Worldwide #349,15,71,71,0,4,Basic,0,35.48,0
CUST-1250,Globex #350,9,77,59,7,20,Basic,29,48.32,1
CUST-1251,Initech #351,5,33,47,5,48,Basic,23,47.24,1
CUST-1252,Tyrell Corp #352,11,69,70,1,47,Enterprise,22,973.59,0
CUST-1253,Massive Dynamic #353,16,91,66,3,27,Pro,14,181.58,0
CUST-1254,Umbrella Corp #354,1,34,39,1,15,Basic,26,36.03,1
CUST-1255,Acme Corp #355,8,37,59,1,6,Pro,10,189.59,0
CUST-1256,Umbrella Corp #356,4,12,18,3,47,Enterprise,24,989.84,1
CUST-1257,Acme Corp #357,4,66,59,2,14,Enterprise,18,674.04,1
CUST-1258,Wayne Enterprises #358,7,40,89,1,60,Pro,17,125.06,0
CUST-1259,Tyrell Corp #359,15,44,56,2,11,Enterprise,16,772.46,1
CUST-1260,Vandelay Industries #360,16,41,53,2,39,Enterprise,18,592.58,0
CUST-1261,Reynholm Industries #361,9,32,50,4,9,Pro,20,102.26,0
CUST-1262,Soylent Corp #362,9,61,65,5,26,Basic,13,47.92,0
CUST-1263,Initech #363,11,67,82,4,16,Basic,26,47.51,1
CUST-1264,Dunder Mifflin #364,1,41,68,4,5,Pro,17,115.27,1
CUST-1265,Acme Corp #365,1,33,50,0,57,Basic,27,37.15,0
CUST-1266,Tyrell Corp #366,1,13,43,5,52,Pro,18,182.1,1
CUST-1267,Bluth Company #367,5,29,74,5,10,Basic,14,42.22,1
CUST-1268,Gekko & Co #368,2,17,25,8,50,Basic,30,36.9,1
CUST-1269,Wayne Enterprises #369,18,74,76,3,3,Basic,14,43.88,1
CUST-1270,Vehement Capital #370,1,16,50,2,13,Basic,3,46.94,0
CUST-1271,Vehement Capital #371,11,41,48,4,43,Enterprise,6,962.08,0
CUST-1272,Stark Industries #372,14,55,65,2,49,Pro,12,136.88,0
CUST-1273,Gekko & Co #373,16,36,44,1,30,Pro,2,116.36,0
CUST-1274,Reynholm Industries #374,17,64,81,4,54,Pro,15,190.28,0
CUST-1275,Globex #375,6,40,39,6,45,Basic,30,30.85,1
CUST-1276,Acme Corp #376,14,75,93,1,6,Pro,8,171.17,0
CUST-1277,Oscorp #377,3,23,50,3,17,Pro,7,113.05,1
CUST-1278,Acme Corp #378,4,18,42,5,59,Pro,19,137.94,0
CUST-1279,Hooli #379,2,28,38,3,45,Basic,12,37.23,0
CUST-1280,Tyrell Corp #380,13,39,74,4,51,Pro,16,114.88,0
CUST-1281,Gekko & Co #381,11,52,56,7,53,Basic,16,47.45,0
CUST-1282,Umbrella Corp #382,11,24,34,3,19,Enterprise,16,500.33,0
CUST-1283,Initech #383,10,40,75,1,42,Enterprise,0,945.9,0
CUST-1284,Dunder Mifflin #384,8,32,42,2,35,Basic,7,46.68,1
CUST-1285,Dunder Mifflin #385,10,58,67,4,46,Pro,18,130.7,0
CUST-1286,Bluth Company #386,2,21,62,5,26,Pro,30,169.43,1
CUST-1287,Wayne Enterprises #387,8,19,51,0,51,Basic,5,34.06,0
CUST-1288,Vehement Capital #388,11,48,89,1,5,Enterprise,2,878.39,0
CUST-1289,Initech #389,3,40,47,4,29,Enterprise,26,779.56,1
CUST-1290,Massive Dynamic #390,9,43,58,3,37,Basic,4,35.0,0
CUST-1291,Hooli #391,5,30,53,2,20,Basic,12,37.0,0
CUST-1292,Dunder Mifflin #392,13,45,71,3,49,Basic,14,42.8,0
CUST-1293,Wayne Enterprises #393,18,67,92,4,21,Basic,13,47.12,0
CUST-1294,Initech #394,6,28,55,4,10,Basic,28,31.61,1
CUST-1295,Acme Corp #395,7,39,57,5,5,Enterprise,30,784.68,1
CUST-1296,Vandelay Industries #396,11,63,49,6,36,Basic,22,34.07,1
CUST-1297,Acme Corp #397,12,34,58,3,6,Basic,15,45.03,1
CUST-1298,Initech #398,5,39,49,6,26,Enterprise,17,534.12,0
CUST-1299,Prestige Worldwide #399,17,37,67,4,4,Pro,21,167.9,0
CUST-1300,Cyberdyne Systems #400,2,37,52,3,39,Basic,28,32.5,1
CUST-1301,Initech #401,11,37,54,7,39,Basic,21,40.93,1
CUST-1302,Reynholm Industries #402,14,73,54,2,50,Basic,10,45.71,1
CUST-1303,Wayne Enterprises #403,4,15,20,2,35,Pro,2,174.51,0
CUST-1304,Prestige Worldwide #404,6,48,91,3,1,Basic,21,44.06,0
CUST-1305,Oscorp #405,12,72,77,1,24,Pro,9,150.78,0
CUST-1306,Globex #406,12,38,65,1,57,Enterprise,9,944.37,0
CUST-1307,Cyberdyne Systems #407,7,31,41,2,36,Basic,29,40.76,1
CUST-1308,Globex #408,12,39,72,2,6,Enterprise,20,957.76,0
CUST-1309,Dunder Mifflin #409,10,42,71,2,41,Enterprise,15,772.26,0
CUST-1310,Reynholm Industries #410,13,63,59,3,54,Basic,11,39.12,0
CUST-1311,Acme Corp #411,14,49,48,5,46,Enterprise,1,610.18,0
CUST-1312,Massive Dynamic #412,7,27,42,1,60,Pro,8,153.48,0
CUST-1313,Aperture Science #413,8,15,47,9,44,Enterprise,23,569.29,1
CUST-1314,Tyrell Corp #414,18,90,87,2,60,Pro,2,185.97,0
CUST-1315,Soylent Corp #415,13,81,81,1,57,Pro,23,166.59,0
CUST-1316,Cyberdyne Systems #416,8,54,86,3,31,Pro,29,198.36,0
CUST-1317,Initech #417,14,45,51,1,20,Enterprise,24,545.05,1
CUST-1318,Prestige Worldwide #418,8,57,52,2,24,Pro,29,123.07,0
CUST-1319,Stark Industries #419,15,74,77,1,25,Pro,14,186.72,0
CUST-1320,Soylent Corp #420,19,64,46,2,36,Enterprise,2,696.63,0
CUST-1321,Umbrella Corp #421,8,46,73,4,21,Basic,18,38.33,0
CUST-1322,Stark Industries #422,13,74,78,3,30,Basic,17,46.21,0
CUST-1323,Vandelay Industries #423,8,21,45,6,24,Basic,7,39.44,1
CUST-1324,Acme Corp #424,9,62,65,4,44,Basic,25,32.87,1
CUST-1325,Reynholm Industries #425,13,51,79,2,42,Basic,16,46.84,0
CUST-1326,Wayne Enterprises #426,18,49,77,0,30,Enterprise,7,514.53,0
CUST-1327,Tyrell Corp #427,17,48,60,1,22,Basic,6,46.91,0
CUST-1328,Wayne Enterprises #428,11,39,68,4,28,Pro,29,104.05,1
CUST-1329,Bluth Company #429,12,35,70,2,7,Basic,6,42.32,0
CUST-1330,Gekko & Co #430,12,80,85,2,35,Enterprise,2,534.84,0
CUST-1331,Oscorp #431,13,63,68,0,55,Enterprise,0,852.11,0
CUST-1332,Globex #432,15,75,83,1,28,Basic,3,29.68,0
CUST-1333,Globex #433,1,40,44,4,14,Enterprise,24,920.23,1
CUST-1334,Gekko & Co #434,20,70,76,2,56,Basic,4,38.32,0
CUST-1335,Dunder Mifflin #435,15,61,67,2,10,Pro,0,108.35,0
CUST-1336,Vandelay Industries #436,8,40,54,6,16,Basic,14,43.14,1
CUST-1337,Cyberdyne Systems #437,1,27,27,3,16,Enterprise,4,743.65,0
CUST-1338,Vehement Capital #438,11,30,39,4,54,Basic,12,32.82,0
CUST-1339,Oscorp #439,11,68,66,1,31,Pro,7,100.57,0
CUST-1340,Aperture Science #440,8,18,62,5,42,Pro,7,140.8,0
CUST-1341,Hooli #441,10,34,61,3,25,Basic,4,30.71,0
CUST-1342,Acme Corp #442,6,72,90,4,13,Basic,27,30.88,1
CUST-1343,Reynholm Industries #443,9,50,83,2,6,Basic,8,34.35,0
CUST-1344,Bluth Company #444,8,48,68,3,44,Basic,30,41.61,0
CUST-1345,Bluth Company #445,11,61,72,1,9,Pro,0,151.99,0
CUST-1346,Hooli #446,14,34,42,5,45,Basic,3,30.38,0
CUST-1347,Soylent Corp #447,20,49,94,4,36,Basic,2,48.37,0
CUST-1348,Umbrella Corp #448,14,51,44,2,56,Basic,1,46.74,0
CUST-1349,Vehement Capital #449,7,30,56,4,43,Pro,30,124.92,1
CUST-1350,Stark Industries #450,14,56,80,3,20,Basic,7,31.45,0
CUST-1351,Vandelay Industries #451,8,53,79,2,18,Basic,22,47.85,1
CUST-1352,Oscorp #452,12,74,59,6,58,Basic,8,38.22,0
CUST-1353,Initech #453,11,64,65,2,43,Basic,1,35.22,0
CUST-1354,Reynholm Industries #454,11,37,46,1,57,Pro,13,148.04,0
CUST-1355,Vandelay Industries #455,9,42,31,3,21,Basic,13,44.45,0
